name,retrieval,appraisal,extraction,output,admin,access,total_count
Giotto Compliance,5,6,4,3,6,3,27
Nested Knowledge,5,5,2,5,6,4,27
DistillerSR,5,6,3,4,6,2,26
EPPI-Reviewer Web,4,6,4,3,5,3,25
LitStream,2,5,3,3,6,4,23
SRDB.PRO,5,4,2,3,6,1,21
JBI SUMARI,3,4,2,4,5,3,21
SysRev,4,3,2,2,5,4,20
Covidence,3,5,4,2,5,1,20
Cadima,2,5,3,2,4,3,19
SRDR+,2,3,3,1,6,4,19
Colandr,4,6,1,2,3,2,18
Rayyan,3,5,2,2,4,2,18
PICOPortal,2,6,2,2,3,3,18
Revman Web,2,1,2,3,6,3,17
SWIFT-Active Screener,3,6,0,1,5,1,16
Abstrackr,1,5,1,1,5,2,15
RobotAnalyst,2,3,0,2,5,2,14
SRDR,1,0,2,2,5,4,14
SyRF,1,4,2,1,2,2,12
Data Abstraction Assistant,2,0,1,0,3,4,10
SR-Accelerator,2,4,0,0,2,1,9
RobotReviewer,2,0,2,1,2,1,8
COVID-NMA,0,0,0,2,1,3,6
